ox,a,b,c,A,B,C
0.16,-0.085153159,-0.034561457,-0.028906861,-0.048869398,-0.009466383,-0.004399624
0.15,-0.085153159,-0.034561457,-0.028906861,-0.048869398,-0.009466383,-0.004399624
0.14,-0.085153159,-0.034561457,-0.028906861,-0.048869398,-0.009466383,-0.004399624
0.13,-0.085153159,-0.034561457,-0.028906861,-0.048869398,-0.009466383,-0.004399624
0.12,-0.084814721,-0.031535782,-0.028063142,-0.048675168,-0.008637651,-0.00427121
0.11,-0.081962512,-0.026985229,-0.027466941,-0.047038285,-0.007391254,-0.004180468
0.1,-0.085402656,-0.029217238,-0.025967581,-0.049012584,-0.008002602,-0.003952266
0.09,-0.106292248,-0.02721995,-0.023987267,-0.061001121,-0.007455544,-0.003650862
0.08,-0.116846255,-0.024607262,-0.019915118,-0.067058066,-0.006739929,-0.003031081
0.07,-0.127278556,-0.021685277,-0.017361256,-0.073045163,-0.005939597,-0.002642383
0.06,-0.122392017,-0.022904397,-0.017215056,-0.070240779,-0.006273514,-0.002620132
0.05,-0.113270361,-0.024750862,-0.01299142,-0.06500586,-0.006779261,-0.001977294
0.04,-0.107775621,-0.022804793,-0.010524272,-0.061852429,-0.006246233,-0.001601794
0.03,-0.103901328,-0.020702616,-0.008441703,-0.059628972,-0.005670446,-0.001284827
0.02,-0.110177615,-0.014175398,-0.009699907,-0.063230933,-0.003882642,-0.001476326
0.01,-0.106831851,-0.00215729,-0.005754263,-0.061310799,-0.000590882,-0.000875799
0,0,0,0,0,0,0
