ox,a,b,c,A,B,C
0.16,-0.016640441,0,-0.039407012,-0.009549949,0,-0.005997747
0.15,-0.016640441,0,-0.039407012,-0.009549949,0,-0.005997747
0.14,-0.016640441,0,-0.039407012,-0.009549949,0,-0.005997747
0.13,-0.016640441,0,-0.039407012,-0.009549949,0,-0.005997747
0.12,-0.016214536,0,-0.038283669,-0.009305522,0,-0.005826774
0.11,-0.020636251,-0.005486184,-0.031113453,-0.011843145,-0.001502666,-0.004735468
0.1,-0.02207288,-0.005868967,-0.02615558,-0.012667626,-0.00160751,-0.003980879
0.09,-0.020758979,-0.005467765,-0.023943249,-0.011913578,-0.001497621,-0.003644162
0.08,-0.068318009,-0.005090393,-0.018909098,-0.039207706,-0.001394259,-0.002877965
0.07,-0.141417538,-0.004693246,-0.016743811,-0.081159525,-0.00128548,-0.002548408
0.06,-0.130117786,-0.004273727,-0.016619855,-0.074674598,-0.001170574,-0.002529542
0.05,-0.11800397,-0.003893342,-0.013038852,-0.067722478,-0.001066386,-0.001984513
0.04,-0.105807608,-0.003496085,-0.010947084,-0.060722986,-0.000957578,-0.001666146
0.03,-0.095393947,-0.003095601,-0.009181381,-0.054746586,-0.000847885,-0.001397406
0.02,-0.121922266,-0.002639135,-0.004263165,-0.069971189,-0.000722859,-0.000648854
0.01,-0.147292099,-0.018689402,-0.006995776,-0.084530936,-0.005119027,-0.001064757
0,0,0,0,0,0,0
