ox,a,b,c,A,B,C
0.16,-0.001644757,-0.006567227,-0.008604526,-0.000160693,-0.002567786,-0.004399494
0.15,-0.001644757,-0.006567227,-0.008604526,-0.000160693,-0.002567786,-0.004399494
0.14,-0.001644757,-0.006567227,-0.008604526,-0.000160693,-0.002567786,-0.004399494
0.13,-0.001644728,-0.006567337,-0.008604508,-0.00016069,-0.002567829,-0.004399485
0.12,-0.001575689,-0.006291075,-0.008240695,-0.000153945,-0.00245981,-0.004213467
0.11,-0.001489675,-0.005917454,-0.007751532,-0.000145541,-0.002313724,-0.003963358
0.1,-0.001387946,-0.005556091,-0.007264046,-0.000135602,-0.002172432,-0.003714107
0.09,-0.001316994,-0.005168995,-0.006776233,-0.00012867,-0.002021077,-0.003464688
0.08,-0.001222128,-0.004791435,-0.006284611,-0.000119402,-0.001873451,-0.003213322
0.07,-0.001125131,-0.004423908,-0.005785723,-0.000109925,-0.001729748,-0.00295824
0.06,-0.00129919,-0.004004552,-0.005282869,-0.000126931,-0.00156578,-0.002701131
0.05,-0.002495193,-0.00344741,-0.004699986,-0.00024378,-0.001347937,-0.002403103
0.04,-0.003902057,-0.002864142,-0.004072295,-0.000381231,-0.001119879,-0.002082164
0.03,-0.005051704,-0.002323409,-0.003455424,-0.000493551,-0.000908453,-0.001766758
0.02,-0.006523807,-0.001764067,-0.002797907,-0.000637376,-0.00068975,-0.00143057
0.01,-0.00779177,-0.001303853,-0.002103111,-0.000761256,-0.000509807,-0.00107532
0,0,0,0,0,0,0
