ox,a,b,c,A,B,C
0.16,0.039754413,0,-0.149901823,0.022815057,0,-0.022815057
0.15,0.039754413,0,-0.149901823,0.022815057,0,-0.022815057
0.14,0.039754413,0,-0.149901823,0.022815057,0,-0.022815057
0.13,0.039754413,0,-0.149901823,0.022815057,0,-0.022815057
0.12,0.0386458,0,-0.145721583,0.022178825,0,-0.022178825
0.11,0.038270582,0,-0.144306748,0.021963487,0,-0.021963487
0.1,0.036490063,0,-0.13759295,0.020941647,0,-0.020941647
0.09,0.033860855,0,-0.127679006,0.019432745,0,-0.019432745
0.08,0.028485413,0,-0.107409846,0.016347778,0,-0.016347778
0.07,0.025050694,0,-0.094458565,0.014376594,0,-0.014376594
0.06,0.024854069,0,-0.09371715,0.01426375,0,-0.01426375
0.05,0.019173651,0,-0.072298019,0.011003758,0,-0.011003758
0.04,0.015855556,0,-0.059786489,0.009099504,0,-0.009099504
0.03,0.013054684,0,-0.049225251,0.007492083,0,-0.007492083
0.02,0.014791744,0,-0.055775176,0.008488982,0,-0.008488982
0.01,0.024333435,-0.034377468,-0.029888107,0.013964958,-0.009415988,-0.00454897
0,0,0,0,0,0,0
