,A,B,C,community,medium
com_0.5926_0.1428_0.2645,0.037429255580870784,0.00901988348403186,0.016704278312103988,0.027889279756153115,
com_0.4204_0.1143_0.4653,0.028855787542028007,0.007844207700897695,0.031939787066886355,0.027889279756143213,
com_0.2301_0.1709_0.5989,0.014555878498272421,0.01081058926425991,0.037886248632134245,0.027889279756153483,
com_0.3846_0.4621_0.1533,0.02786459095317218,0.03347784197150562,0.011103588105440234,0.027889279756157005,
com_0.6891_0.0611_0.2498,0.03552503454647006,0.003148567923490749,0.012879818312780532,0.027889279756156137,
com_0.3257_0.0085_0.6658,0.016532441672714306,0.00042918767656548754,0.03379500006712043,0.027889279756158403,
com_0.6649_0.0871_0.248,0.036276993636254314,0.004752567469635074,0.013528946970347478,0.02788927975614609,
com_0.1316_0.503_0.3654,0.009086292346025903,0.03473664338995194,0.02523519327735736,0.027889279756157275,
com_0.3852_0.2782_0.3366,0.03168482165026112,0.02287988977024422,0.027685736982089922,0.02788927975616886,
com_0.2242_0.113_0.6628,0.012446630992852982,0.006270590803842328,0.036797776471354245,0.02788927975615768,
com_0.4273_0.4536_0.1191,0.02960918948488058,0.03142605586817498,0.008252589147978296,0.0278892797561486,
com_0.0155_0.1524_0.8321,0.0006035813303044375,0.005934802581661776,0.03241807784617644,0.027889279756113848,
com_0.5852_0.4119_0.0029,0.02895667379407752,0.020387526769397927,0.0024844834968783393,0.025349833011905944,
com_0.1062_0.4532_0.4407,0.007206681207132348,0.03076236727521462,0.02991784915215346,0.027889279756159895,
com_0.0081_0.5206_0.4712,0.0004589292508371137,0.02944210126064703,0.026647135307115405,0.02788927975614256,
com_0.1419_0.3597_0.4983,0.00994852341490335,0.025213477970723777,0.03493109705568266,0.027889279756148713,
com_0.1644_0.5839_0.2518,0.01062908384912086,0.03775543827919991,0.016278796220634103,0.027889279756155058,
com_0.1522_0.1018_0.746,0.007194785688861172,0.004811459409465702,0.03526200334895295,0.02788927975614925,
