,EX_acac_m,EX_arg_L_m,EX_asp_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_fum_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_ser_L_m,EX_succ_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_urea_m,EX_val_L_m,EX_glu_L_m,EX_h2o_m,EX_pyr_m
D6,-0.019136808696283494,0.0642627522489253,0.024797528825047176,0.004600470737076459,-0.17897349143365743,0.0012460221389067327,-0.0048100986912828015,-0.07011219801041513,0.029294741447261692,0.007654162751464382,0.02674860723085047,0.04457148877896619,0.01584209419312354,0.004094099497446704,-0.22710979780680002,0.2,0.006942203611306222,0.03322002418180861,0.05910808375051527,-0.05048088885451192,0.06085533524004798,0.00035600632540176783,0.004272022394171571,-0.05465063497371558,0.009434194378473221,,,
D19,,0.039027513298209374,0.024795775824810382,0.004600145518116035,-0.1919303624819615,0.001245934054436848,-0.0048097586532512586,-0.08856262425878692,0.0033819012651944455,0.0076536216592581,0.026746716303892144,0.02543288204052274,0.01584097427525072,0.004093810075152868,-0.14004665708927755,0.2,0.006941712849299677,0.033217675774025436,0.03004429075327616,-0.05040662769186122,0.09912194495496446,0.00035598115841160437,0.0042717203940636495,-0.029416075527986793,0.009433527451311796,0.05107077277552996,-0.12277853291642027,0.009924158630019457
