,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m
com_0.106_0.3694_0.5245,0.0095185275129421,0.0045556775921075585,-0.02155601433701193,0.0012338900651505114,0.111,-0.20456584256738375,-0.21778656577068944,0.048596295044845,0.007579636895009167,0.000617726629637472,0.014453981794271093,0.015687845364599613,0.004054236708874092,-0.010671498008914966,0.12362789559503767,0.006874609847412209,0.03289657263828115,0.008284663942606126,0.0003525400186149983,0.004230427233732034,0.009342336988076705,
com_0.0576_0.4062_0.5362,0.0095185275129349,0.004555677592102905,-0.02155601433745513,0.0012338900651576168,0.111,-0.20456584256725208,-0.21778656577052447,0.04859629504532818,0.007579636895007095,0.0006177266296428561,0.01445398179427151,0.015687845364604023,0.0040542367088704226,-0.01067149800936295,0.12362789559527246,0.006874609847410068,0.03289657263867748,0.008284663942604123,0.0003525400186098572,0.0042304272337337,0.009342336988079241,
com_0.0933_0.3883_0.5184,0.009518527512924986,0.004555677592105225,-0.22612185690506692,0.0012338900651460705,0.111,,-0.013220723202498785,0.04859629504483277,0.007579636895007363,0.000617726629629155,0.014453981794253766,0.015687845364587803,0.004054236708867857,-0.010671498008470772,0.12362789559522368,0.006874609847409043,0.03289657263871384,0.008284663942598317,0.0003525400186110041,0.00423042723373046,0.00934233698806975,-0.20456584256939547
com_0.1149_0.4093_0.4758,0.009518527512938923,0.004555677592106266,-0.22612185690479336,0.0012338900651451823,0.111,,-0.013220723203169804,0.04859629504510051,0.007579636895005865,0.0006177266296365735,0.014453981794261944,0.015687845364602843,0.004054236708873922,-0.010671498008987975,0.12362789559534872,0.006874609847413707,0.032896572638771424,0.008284663942604785,0.0003525400186111657,0.004230427233730864,0.009342336988075219,-0.2045658425679786
com_0.0533_0.4236_0.5231,0.009518527512942002,0.004555677592109917,-0.2261218569050154,0.0012338900651460705,0.111,,-0.013220723202786222,0.04859629504490854,0.007579636895015205,0.0006177266296387494,0.014453981794275652,0.01568784536460349,0.004054236708872041,-0.010671498008771556,0.1236278955952328,0.006874609847416246,0.03289657263846477,0.008284663942606732,0.0003525400186083695,0.00423042723373469,0.009342336988079354,-0.20456584256843602
com_0.1035_0.3746_0.5219,0.00951852751293716,0.0045556775921049356,-0.02155601433721177,0.001233890065154064,0.111,-0.20456584256849553,-0.21778656577102407,0.04859629504530689,0.007579636895013209,0.0006177266296374915,0.014453981794264176,0.015687845364600266,0.004054236708871317,-0.010671498009119894,0.1236278955955182,0.006874609847415946,0.032896572638817775,0.008284663942603056,0.0003525400186127059,0.004230427233731739,0.009342336988076738,
com_0.0787_0.4004_0.5209,0.009518527512931047,0.0045556775921008754,-0.2261218569050678,0.0012338900651460705,0.111,,-0.013220723202931772,0.04859629504540857,0.007579636895005204,0.0006177266296401908,0.014453981794253052,0.015687845364583553,0.00405423670886648,-0.010671498008848342,0.12362789559570196,0.006874609847409862,0.03289657263926269,0.008284663942600546,0.00035254001861017117,0.004230427233726663,0.009342336988070864,-0.20456584256924626
com_0.0623_0.3762_0.5615,0.009518527512927725,0.004555677592101486,-0.22612185690502695,0.001233890065143406,0.111,,-0.013220723202694629,0.04859629504515539,0.0075796368950086035,0.0006177266296313137,0.014453981794253702,0.015687845364592605,0.004054236708871333,-0.010671498008917788,0.12362789559531927,0.0068746098474080945,0.032896572638664606,0.008284663942601132,0.0003525400186105351,0.0042304272337297995,0.00934233698807724,-0.20456584256856458
com_0.1022_0.401_0.4968,0.009518527512933661,0.004555677592107334,-0.22612185690391895,0.001233890065153509,0.111,,-0.013220723204160123,0.04859629504524021,0.007579636895015331,0.0006177266296332559,0.014453981794261038,0.015687845364594645,0.004054236708871519,-0.010671498009498905,0.12362789559531531,0.006874609847409428,0.032896572639013716,0.008284663942607113,0.00035254001861367515,0.004230427233728534,0.009342336988076646,-0.20456584256647503
com_0.1181_0.3732_0.5088,0.009518527512939804,0.0045556775921103375,-0.2261218569050859,0.0012338900651470142,0.111,,-0.013220723202886864,0.048596295045240295,0.007579636895010613,0.0006177266296299998,0.014453981794271287,0.015687845364605966,0.004054236708875388,-0.010671498009067183,0.12362789559551247,0.0068746098474160985,0.03289657263884052,0.008284663942612356,0.00035254001861352244,0.004230427233736968,0.009342336988085455,-0.20456584256832233
