sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_5adtststeroneglc_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5adtststeroneglc_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5mthf_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5mthf_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5mthf_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5oxpro_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5oxpro_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_5oxpro_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_C02470_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_C02470_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_C02470_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_CE1940_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_CE1940_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_CE1940_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_HC00250_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_HC00250_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_HC00250_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_Lcystin_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_Lcystin_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_abt_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_abt_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_abt_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ac_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ac_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ac_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acac_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acac_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acac_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acald_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acald_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acald_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acetone_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acetone_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acetone_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acmana_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acmana_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_acmana_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ala_B_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ala_B_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ala_B_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
