,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h2o_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h_m
D6,0.012140150730866864,0.007681620731894248,-0.30248544747008765,0.0015737320038107239,0.111,-0.3738368643125781,-0.001380137049406191,0.034193315845717075,0.00966724467261713,0.0007878628689233346,0.018434943577677238,0.020008641789383518,0.005170867518893664,0.255691023574075,0.008768036826081049,0.04195705163652877,0.010566452519167957,0.00044963771537529564,0.005395585000274293,0.07979613083216561,
D6_2,0.012140150730864675,0.007681620731898851,-0.30248544747072925,0.0015737320038021752,0.111,-0.3738368643132133,-0.0013801370487214193,0.034193315845691734,0.00966724467262003,0.0007878628689303057,0.01843494357768421,0.020008641789380124,0.0051708675189051315,0.2556910235740149,0.008768036826078475,0.04195705163636207,0.010566452519161586,0.00044963771537292476,0.005395585000270803,0.07979613083209997,
D19,0.012140150730868965,0.0076816207318960005,,0.001573732003801176,0.111,-0.07135141684222804,-0.30386558451973755,0.034193315845742714,0.00966724467262422,0.0007878628689238493,0.018434943577684517,0.020008641789387323,0.005170867518892544,0.25569102357418594,0.008768036826084444,0.04195705163647767,0.010566452519166158,0.00044963771537316757,0.005395585000273613,0.07979613083219685,-0.3024854474709664
D19_2,0.01214015073086898,0.007681620731896998,-0.30248544747195416,0.0015737320038153035,0.111,-0.3738368643116683,-0.0013801370474764152,0.03419331584577989,0.009667244672629492,0.0007878628689248046,0.0184349435776852,0.020008641789389256,0.005170867518894084,0.2556910235732313,0.008768036826084112,0.04195705163384709,0.010566452519169899,0.00044963771537354086,0.005395585000273328,0.07979613083157275,
