sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_trp_L_b,-8.486761839024504e-05,A_D6,D6,A,1,0.08955224,A,-7.600085330311638e-06,Ok,MCF7,spheroid
D6,A,EX_tyr_L_LPAREN_e_RPAREN_,-0.0010183986643897,A_D6,D6,A,1,0.08955224,A,-9.119988160910587e-05,Ok,MCF7,spheroid
D6,A,EX_tyr_L_b,-0.0010183986643897,A_D6,D6,A,1,0.08955224,A,-9.119988160910587e-05,Ok,MCF7,spheroid
D6,A,EX_val_L_LPAREN_e_RPAREN_,-0.0023543317174234,A_D6,D6,A,1,0.08955224,A,-0.00021083567899831253,Ok,MCF7,spheroid
D6,A,EX_val_L_b,-0.0023543317174234,A_D6,D6,A,1,0.08955224,A,-0.00021083567899831253,Ok,MCF7,spheroid
D6,A,EX_xylt_LPAREN_e_RPAREN_,-0.0040029694404814,A_D6,D6,A,1,0.08955224,A,-0.00035847488004665606,Ok,MCF7,spheroid
D6,A,EX_xylt_b,-0.0040029694404814,A_D6,D6,A,1,0.08955224,A,-0.00035847488004665606,Ok,MCF7,spheroid
D6,B,EX_ala_L_LPAREN_e_RPAREN_,-0.0083245290987187,B_D6,D6,B,1,0.3880597,B,-0.0032304142646900494,Ok,MCF7,spheroid
D6,B,EX_ala_L_b,-0.0083245290987187,B_D6,D6,B,1,0.3880597,B,-0.0032304142646900494,Ok,MCF7,spheroid
D6,B,EX_arg_L_LPAREN_e_RPAREN_,-0.0213324124126949,B_D6,D6,B,1,0.3880597,B,-0.00827824956114666,Ok,MCF7,spheroid
D6,B,EX_arg_L_b,-0.0213324124126949,B_D6,D6,B,1,0.3880597,B,-0.00827824956114666,Ok,MCF7,spheroid
D6,B,EX_asp_L_LPAREN_e_RPAREN_,-0.0196846015948886,B_D6,D6,B,1,0.3880597,B,-0.007638800589531992,Ok,MCF7,spheroid
D6,B,EX_asp_L_b,-0.0196846015948886,B_D6,D6,B,1,0.3880597,B,-0.007638800589531992,Ok,MCF7,spheroid
D6,B,EX_chol_LPAREN_e_RPAREN_,-0.0083655375646792,B_D6,D6,B,1,0.3880597,B,-0.003246327997688141,Ok,MCF7,spheroid
D6,B,EX_chol_b,-0.0083655375646792,B_D6,D6,B,1,0.3880597,B,-0.003246327997688141,Ok,MCF7,spheroid
D6,B,EX_cys_L_LPAREN_e_RPAREN_,-0.0012873140934402,B_D6,D6,B,1,0.3880597,B,-0.0004995547209061759,Ok,MCF7,spheroid
D6,B,EX_cys_L_b,-0.0012873140934402,B_D6,D6,B,1,0.3880597,B,-0.0004995547209061759,Ok,MCF7,spheroid
D6,B,EX_gal_LPAREN_e_RPAREN_,-0.0634468082733418,B_D6,D6,B,1,0.3880597,B,-0.024621149384510536,Ok,MCF7,spheroid
D6,B,EX_gal_b,-0.0634468082733418,B_D6,D6,B,1,0.3880597,B,-0.024621149384510536,Ok,MCF7,spheroid
D6,B,EX_gln_L_LPAREN_e_RPAREN_,-0.0196774877863336,B_D6,D6,B,1,0.3880597,B,-0.007636040007118281,Ok,MCF7,spheroid
D6,B,EX_gln_L_b,-0.0196774877863336,B_D6,D6,B,1,0.3880597,B,-0.007636040007118281,Ok,MCF7,spheroid
D6,B,EX_his_L_LPAREN_e_RPAREN_,-0.0034942211795277,B_D6,D6,B,1,0.3880597,B,-0.0013559664226611655,Ok,MCF7,spheroid
D6,B,EX_his_L_b,-0.0034942211795277,B_D6,D6,B,1,0.3880597,B,-0.0013559664226611655,Ok,MCF7,spheroid
D6,B,EX_ile_L_LPAREN_e_RPAREN_,-0.0103803980252082,B_D6,D6,B,1,0.3880597,B,-0.004028214143542887,Ok,MCF7,spheroid
D6,B,EX_ile_L_b,-0.0103803980252082,B_D6,D6,B,1,0.3880597,B,-0.004028214143542887,Ok,MCF7,spheroid
D6,B,EX_inost_LPAREN_e_RPAREN_,-0.000845983570877,B_D6,D6,B,1,0.3880597,B,-0.00032829213071945733,Ok,MCF7,spheroid
D6,B,EX_inost_b,-0.000845983570877,B_D6,D6,B,1,0.3880597,B,-0.00032829213071945733,Ok,MCF7,spheroid
D6,B,EX_lac_L_LPAREN_e_RPAREN_,-0.0337717658074986,B_D6,D6,B,1,0.3880597,B,-0.013105461307728165,Ok,MCF7,spheroid
D6,B,EX_lac_L_b,-0.0337717658074986,B_D6,D6,B,1,0.3880597,B,-0.013105461307728165,Ok,MCF7,spheroid
D6,B,EX_leu_L_LPAREN_e_RPAREN_,-0.0197948907252452,B_D6,D6,B,1,0.3880597,B,-0.007681599356371435,Ok,MCF7,spheroid
D6,B,EX_leu_L_b,-0.0197948907252452,B_D6,D6,B,1,0.3880597,B,-0.007681599356371435,Ok,MCF7,spheroid
D6,B,EX_lys_L_LPAREN_e_RPAREN_,-0.0214846807701169,B_D6,D6,B,1,0.3880597,B,-0.008337338774247333,Ok,MCF7,spheroid
D6,B,EX_lys_L_b,-0.0214846807701169,B_D6,D6,B,1,0.3880597,B,-0.008337338774247333,Ok,MCF7,spheroid
D6,B,EX_met_L_LPAREN_e_RPAREN_,-0.0042297739489861,B_D6,D6,B,1,0.3880597,B,-0.0016414048097113613,Ok,MCF7,spheroid
D6,B,EX_met_L_b,-0.0042297739489861,B_D6,D6,B,1,0.3880597,B,-0.0016414048097113613,Ok,MCF7,spheroid
D6,B,EX_o2_LPAREN_e_RPAREN_,-0.2700808949637075,B_D6,D6,B,1,0.3880597,B,-0.10480751107534786,Ok,MCF7,spheroid
D6,B,EX_o2_b,-0.2700808949637075,B_D6,D6,B,1,0.3880597,B,-0.10480751107534786,Ok,MCF7,spheroid
D6,B,EX_phe_L_LPAREN_e_RPAREN_,-0.0071722614465,B_D6,D6,B,1,0.3880597,B,-0.0027832656252503563,Ok,MCF7,spheroid
D6,B,EX_phe_L_b,-0.0071722614465,B_D6,D6,B,1,0.3880597,B,-0.0027832656252503563,Ok,MCF7,spheroid
D6,B,EX_pi_LPAREN_e_RPAREN_,-0.0338375558266248,B_D6,D6,B,1,0.3880597,B,-0.013130991762813272,Ok,MCF7,spheroid
D6,B,EX_pi_b,-0.0338375558266248,B_D6,D6,B,1,0.3880597,B,-0.013130991762813272,Ok,MCF7,spheroid
D6,B,EX_sph1p_LPAREN_e_RPAREN_,-0.000499724757139,B_D6,D6,B,1,0.3880597,B,-0.00019392303933793323,Ok,MCF7,spheroid
D6,B,EX_sph1p_b,-0.000499724757139,B_D6,D6,B,1,0.3880597,B,-0.00019392303933793323,Ok,MCF7,spheroid
D6,B,EX_thr_L_LPAREN_e_RPAREN_,-0.0113459405009432,B_D6,D6,B,1,0.3880597,B,-0.004402902267013868,Ok,MCF7,spheroid
D6,B,EX_thr_L_b,-0.0113459405009432,B_D6,D6,B,1,0.3880597,B,-0.004402902267013868,Ok,MCF7,spheroid
D6,B,EX_trp_L_LPAREN_e_RPAREN_,-0.0003678040266972,B_D6,D6,B,1,0.3880597,B,-0.00014272992025890743,Ok,MCF7,spheroid
D6,B,EX_trp_L_b,-0.0003678040266972,B_D6,D6,B,1,0.3880597,B,-0.00014272992025890743,Ok,MCF7,spheroid
D6,B,EX_tyr_L_LPAREN_e_RPAREN_,-0.005528805351222,B_D6,D6,B,1,0.3880597,B,-0.002145506545953604,Ok,MCF7,spheroid
D6,B,EX_tyr_L_b,-0.005528805351222,B_D6,D6,B,1,0.3880597,B,-0.002145506545953604,Ok,MCF7,spheroid
D6,B,EX_val_L_LPAREN_e_RPAREN_,-0.0664476207167662,B_D6,D6,B,1,0.3880597,B,-0.02578564376106208,Ok,MCF7,spheroid
D6,B,EX_val_L_b,-0.0664476207167662,B_D6,D6,B,1,0.3880597,B,-0.02578564376106208,Ok,MCF7,spheroid
D6,C,EX_ala_L_LPAREN_e_RPAREN_,-0.0051514995137594,C_D6,D6,C,1,0.5149254,C,-0.0026526379477223644,Ok,MCF7,spheroid
D6,C,EX_ala_L_b,-0.0051514995137594,C_D6,D6,C,1,0.5149254,C,-0.0026526379477223644,Ok,MCF7,spheroid
D6,C,EX_arg_L_LPAREN_e_RPAREN_,-0.008914942066355,C_D6,D6,C,1,0.5149254,C,-0.004590530109494674,Ok,MCF7,spheroid
D6,C,EX_arg_L_b,-0.008914942066355,C_D6,D6,C,1,0.5149254,C,-0.004590530109494674,Ok,MCF7,spheroid
D6,C,EX_chol_LPAREN_e_RPAREN_,-0.0083383432000924,C_D6,D6,C,1,0.5149254,C,-0.00429362470764486,Ok,MCF7,spheroid
D6,C,EX_chol_b,-0.0083383432000924,C_D6,D6,C,1,0.5149254,C,-0.00429362470764486,Ok,MCF7,spheroid
D6,C,EX_cys_L_LPAREN_e_RPAREN_,-0.002011617134002,C_D6,D6,C,1,0.5149254,C,-0.0010358327573728333,Ok,MCF7,spheroid
D6,C,EX_cys_L_b,-0.002011617134002,C_D6,D6,C,1,0.5149254,C,-0.0010358327573728333,Ok,MCF7,spheroid
D6,C,EX_gal_LPAREN_e_RPAREN_,-0.1661415330366097,C_D6,D6,C,1,0.5149254,C,-0.08555049535548946,Ok,MCF7,spheroid
D6,C,EX_gal_b,-0.1661415330366097,C_D6,D6,C,1,0.5149254,C,-0.08555049535548946,Ok,MCF7,spheroid
D6,C,EX_gly_LPAREN_e_RPAREN_,-0.0119028740665835,C_D6,D6,C,1,0.5149254,C,-0.0061290921898851354,Ok,MCF7,spheroid
D6,C,EX_gly_b,-0.0119028740665835,C_D6,D6,C,1,0.5149254,C,-0.0061290921898851354,Ok,MCF7,spheroid
D6,C,EX_his_L_LPAREN_e_RPAREN_,-0.0588495330144807,C_D6,D6,C,1,0.5149254,C,-0.030303119327294677,Ok,MCF7,spheroid
D6,C,EX_his_L_b,-0.0588495330144807,C_D6,D6,C,1,0.5149254,C,-0.030303119327294677,Ok,MCF7,spheroid
D6,C,EX_ile_L_LPAREN_e_RPAREN_,-0.0104937234853177,C_D6,D6,C,1,0.5149254,C,-0.00540348476316661,Ok,MCF7,spheroid
D6,C,EX_ile_L_b,-0.0104937234853177,C_D6,D6,C,1,0.5149254,C,-0.00540348476316661,Ok,MCF7,spheroid
D6,C,EX_inost_LPAREN_e_RPAREN_,-0.0008552193898915,C_D6,D6,C,1,0.5149254,C,-0.00044037418642763656,Ok,MCF7,spheroid
D6,C,EX_inost_b,-0.0008552193898915,C_D6,D6,C,1,0.5149254,C,-0.00044037418642763656,Ok,MCF7,spheroid
D6,C,EX_leu_L_LPAREN_e_RPAREN_,-0.0200109966099701,C_D6,D6,C,1,0.5149254,C,-0.010304170433787497,Ok,MCF7,spheroid
D6,C,EX_leu_L_b,-0.0200109966099701,C_D6,D6,C,1,0.5149254,C,-0.010304170433787497,Ok,MCF7,spheroid
D6,C,EX_lys_L_LPAREN_e_RPAREN_,-0.0217192345249283,C_D6,D6,C,1,0.5149254,C,-0.011183785525442514,Ok,MCF7,spheroid
D6,C,EX_lys_L_b,-0.0217192345249283,C_D6,D6,C,1,0.5149254,C,-0.011183785525442514,Ok,MCF7,spheroid
D6,C,EX_met_L_LPAREN_e_RPAREN_,-0.0056129389252073,C_D6,D6,C,1,0.5149254,C,-0.002890244821237939,Ok,MCF7,spheroid
D6,C,EX_met_L_b,-0.0056129389252073,C_D6,D6,C,1,0.5149254,C,-0.002890244821237939,Ok,MCF7,spheroid
D6,C,EX_o2_LPAREN_e_RPAREN_,-0.2550588207398475,C_D6,D6,C,1,0.5149254,C,-0.13133626529299425,Ok,MCF7,spheroid
D6,C,EX_o2_b,-0.2550588207398475,C_D6,D6,C,1,0.5149254,C,-0.13133626529299425,Ok,MCF7,spheroid
D6,C,EX_phe_L_LPAREN_e_RPAREN_,-0.0095176399354565,C_D6,D6,C,1,0.5149254,C,-0.004900874550820913,Ok,MCF7,spheroid
D6,C,EX_phe_L_b,-0.0095176399354565,C_D6,D6,C,1,0.5149254,C,-0.004900874550820913,Ok,MCF7,spheroid
D6,C,EX_pi_LPAREN_e_RPAREN_,-0.04592067725266,C_D6,D6,C,1,0.5149254,C,-0.023645723102596848,Ok,MCF7,spheroid
D6,C,EX_pi_b,-0.04592067725266,C_D6,D6,C,1,0.5149254,C,-0.023645723102596848,Ok,MCF7,spheroid
D6,C,EX_thr_L_LPAREN_e_RPAREN_,-0.011469807035179,C_D6,D6,C,1,0.5149254,C,-0.005906094975512361,Ok,MCF7,spheroid
D6,C,EX_thr_L_b,-0.011469807035179,C_D6,D6,C,1,0.5149254,C,-0.005906094975512361,Ok,MCF7,spheroid
D6,C,EX_trp_L_LPAREN_e_RPAREN_,-0.000488078456011,C_D6,D6,C,1,0.5149254,C,-0.00025132399419284656,Ok,MCF7,spheroid
D6,C,EX_trp_L_b,-0.000488078456011,C_D6,D6,C,1,0.5149254,C,-0.00025132399419284656,Ok,MCF7,spheroid
D6,C,EX_tyr_L_LPAREN_e_RPAREN_,-0.0058568681099716,C_D6,D6,C,1,0.5149254,C,-0.00301585015427437,Ok,MCF7,spheroid
D6,C,EX_tyr_L_b,-0.0058568681099716,C_D6,D6,C,1,0.5149254,C,-0.00301585015427437,Ok,MCF7,spheroid
D6,C,EX_val_L_LPAREN_e_RPAREN_,-0.1033240154756188,C_D6,D6,C,1,0.5149254,C,-0.0532041599983892,Ok,MCF7,spheroid
D6,C,EX_val_L_b,-0.1033240154756188,C_D6,D6,C,1,0.5149254,C,-0.0532041599983892,Ok,MCF7,spheroid
D6_2,A,EX_asp_L_LPAREN_e_RPAREN_,-0.0053028733555396,A_D6_2,D6_2,A,1,0.09155224,A,-0.00048548993413596674,Ok,MCF7,spheroid
D6_2,A,EX_asp_L_b,-0.0053028733555396,A_D6_2,D6_2,A,1,0.09155224,A,-0.00048548993413596674,Ok,MCF7,spheroid
D6_2,A,EX_creat_LPAREN_e_RPAREN_,-0.0117156605545313,A_D6_2,D6_2,A,1,0.09155224,A,-0.0010725949668469825,Ok,MCF7,spheroid
D6_2,A,EX_creat_b,-0.0117156605545313,A_D6_2,D6_2,A,1,0.09155224,A,-0.0010725949668469825,Ok,MCF7,spheroid
D6_2,A,EX_cys_L_LPAREN_e_RPAREN_,-0.0003042088799496,A_D6_2,D6_2,A,1,0.09155224,A,-2.7851004387276964e-05,Ok,MCF7,spheroid
D6_2,A,EX_cys_L_b,-0.0003042088799496,A_D6_2,D6_2,A,1,0.09155224,A,-2.7851004387276964e-05,Ok,MCF7,spheroid
D6_2,A,EX_gln_L_LPAREN_e_RPAREN_,-0.0054296297772489,A_D6_2,D6_2,A,1,0.09155224,A,-0.0004970947684778378,Ok,MCF7,spheroid
D6_2,A,EX_gln_L_b,-0.0054296297772489,A_D6_2,D6_2,A,1,0.09155224,A,-0.0004970947684778378,Ok,MCF7,spheroid
D6_2,A,EX_gly_LPAREN_e_RPAREN_,-0.0247846149756207,A_D6_2,D6_2,A,1,0.09155224,A,-0.00226908701855562,Ok,MCF7,spheroid
D6_2,A,EX_gly_b,-0.0247846149756207,A_D6_2,D6_2,A,1,0.09155224,A,-0.00226908701855562,Ok,MCF7,spheroid
D6_2,A,EX_glyc_LPAREN_e_RPAREN_,-0.0664865919308662,A_D6_2,D6_2,A,1,0.09155224,A,-0.006086996421236725,Ok,MCF7,spheroid
D6_2,A,EX_glyc_b,-0.0664865919308662,A_D6_2,D6_2,A,1,0.09155224,A,-0.006086996421236725,Ok,MCF7,spheroid
D6_2,A,EX_his_L_LPAREN_e_RPAREN_,-0.0260639697282038,A_D6_2,D6_2,A,1,0.09155224,A,-0.002386214811909249,Ok,MCF7,spheroid
D6_2,A,EX_his_L_b,-0.0260639697282038,A_D6_2,D6_2,A,1,0.09155224,A,-0.002386214811909249,Ok,MCF7,spheroid
D6_2,A,EX_ile_L_LPAREN_e_RPAREN_,-0.0018687182232721,A_D6_2,D6_2,A,1,0.09155224,A,-0.00017108533926938086,Ok,MCF7,spheroid
D6_2,A,EX_ile_L_b,-0.0018687182232721,A_D6_2,D6_2,A,1,0.09155224,A,-0.00017108533926938086,Ok,MCF7,spheroid
D6_2,A,EX_inost_LPAREN_e_RPAREN_,-0.0001522971384773,A_D6_2,D6_2,A,1,0.09155224,A,-1.3943144173187002e-05,Ok,MCF7,spheroid
D6_2,A,EX_inost_b,-0.0001522971384773,A_D6_2,D6_2,A,1,0.09155224,A,-1.3943144173187002e-05,Ok,MCF7,spheroid
D6_2,A,EX_leu_L_LPAREN_e_RPAREN_,-0.0035635505436377,A_D6_2,D6_2,A,1,0.09155224,A,-0.00032625103462324915,Ok,MCF7,spheroid
D6_2,A,EX_leu_L_b,-0.0035635505436377,A_D6_2,D6_2,A,1,0.09155224,A,-0.00032625103462324915,Ok,MCF7,spheroid
D6_2,A,EX_lys_L_LPAREN_e_RPAREN_,-0.0038677528914347,A_D6_2,D6_2,A,1,0.09155224,A,-0.00035410144097732356,Ok,MCF7,spheroid
D6_2,A,EX_lys_L_b,-0.0038677528914347,A_D6_2,D6_2,A,1,0.09155224,A,-0.00035410144097732356,Ok,MCF7,spheroid
D6_2,A,EX_met_L_LPAREN_e_RPAREN_,-0.0009995499948444,A_D6_2,D6_2,A,1,0.09155224,A,-9.151104101999327e-05,Ok,MCF7,spheroid
D6_2,A,EX_met_L_b,-0.0009995499948444,A_D6_2,D6_2,A,1,0.09155224,A,-9.151104101999327e-05,Ok,MCF7,spheroid
D6_2,A,EX_o2_LPAREN_e_RPAREN_,-0.0047725547382325,A_D6_2,D6_2,A,1,0.09155224,A,-0.000436938076807799,Ok,MCF7,spheroid
D6_2,A,EX_o2_b,-0.0047725547382325,A_D6_2,D6_2,A,1,0.09155224,A,-0.000436938076807799,Ok,MCF7,spheroid
D6_2,A,EX_orot_LPAREN_e_RPAREN_,-0.0006657831242617,A_D6_2,D6_2,A,1,0.09155224,A,-6.095393638035697e-05,Ok,MCF7,spheroid
D6_2,A,EX_orot_b,-0.0006657831242617,A_D6_2,D6_2,A,1,0.09155224,A,-6.095393638035697e-05,Ok,MCF7,spheroid
D6_2,A,EX_phe_L_LPAREN_e_RPAREN_,-0.0016948976418918,A_D6_2,D6_2,A,1,0.09155224,A,-0.00015517167568591212,Ok,MCF7,spheroid
D6_2,A,EX_phe_L_b,-0.0016948976418918,A_D6_2,D6_2,A,1,0.09155224,A,-0.00015517167568591212,Ok,MCF7,spheroid
D6_2,A,EX_pi_LPAREN_e_RPAREN_,-0.0081104709400651,A_D6_2,D6_2,A,1,0.09155224,A,-0.0007425317820178657,Ok,MCF7,spheroid
D6_2,A,EX_pi_b,-0.0081104709400651,A_D6_2,D6_2,A,1,0.09155224,A,-0.0007425317820178657,Ok,MCF7,spheroid
D6_2,A,EX_ser_L_LPAREN_e_RPAREN_,-0.0425417318983655,A_D6_2,D6_2,A,1,0.09155224,A,-0.0038947908487748134,Ok,MCF7,spheroid
D6_2,A,EX_ser_L_b,-0.0425417318983655,A_D6_2,D6_2,A,1,0.09155224,A,-0.0038947908487748134,Ok,MCF7,spheroid
D6_2,A,EX_tag_hs_LPAREN_e_RPAREN_,-0.0012310669029867,A_D6_2,D6_2,A,1,0.09155224,A,-0.00011270693255829507,Ok,MCF7,spheroid
D6_2,A,EX_tag_hs_b,-0.0012310669029867,A_D6_2,D6_2,A,1,0.09155224,A,-0.00011270693255829507,Ok,MCF7,spheroid
D6_2,A,EX_thr_L_LPAREN_e_RPAREN_,-0.0020425388046524,A_D6_2,D6_2,A,1,0.09155224,A,-0.0001869990028528496,Ok,MCF7,spheroid
