samples,name,reads,relative,genus
D6,A,1,0.08955224,A
D6,B,1,0.3880597,B
D6,C,1,0.5149254,C
D19,A,1,0.573913,A
D19,B,1,0.273913,B
D19,C,1,0.1521739,C
D6_2,A,1,0.09155224,A
D6_2,B,1,0.403597,B
D6_2,C,1,0.5049254,C
D19_2,A,1,0.545,A
D19_2,B,1,0.28,B
D19_2,C,1,0.175,C
